0,81.5
1,81.5
2,79.7
3,78.8
4,78.8
5,79.7
6,79.7
7,79.7
8,79.7
9,80.6
10,79.7
11,79.7
12,77.9
13,77.9
14,77.9
15,81.5
16,81.5
17,82.4
18,81.5
19,79.7
20,78.8
21,77.9
22,77
23,76.1
24,75.2
25,74.3
26,72.5
27,72.5
28,73.4
29,74.3
30,74.3
31,74.3
32,75.2
33,73.4
34,75.2
35,75.2
36,76.1
37,75.2
38,75.2
39,75.2
40,74.3
41,74.3
42,74.3
43,74.3
44,74.3
45,74.3
46,73.4
47,73.4
48,74.3
49,74.3
50,75.2
51,75.2
52,76.1
53,76.1
54,77
55,76.1
56,76.1
57,77.9
58,77.9
59,77.9
60,78.8
61,78.8
62,77.9
63,77.9
64,77.9
65,77.9
66,77.9
67,77.9
68,77.9
69,77.9
70,77.9
71,78.8
72,78.8
73,78.8
74,78.8
75,78.8
76,78.8
77,78.8
78,78.8
79,78.8
80,78.8
81,77.9
82,77.9
83,77.9
84,77.9
85,77
86,77
87,76.1
88,76.1
89,75.2
90,75.2
91,75.2
92,74.3
93,74.3
94,73.4
95,73.4
96,74.3
97,75.2
98,76.1
99,77
100,77
101,77.9
102,79.7
103,82.4
104,81.5
105,83.3
106,83.9
107,84.0
108,84.2
109,80.6
110,80.6
111,80.6
112,80.6
113,79.7
114,79.7
115,78.8
116,79.7
117,79.7
118,80.6
119,78.8
120,78.8
121,78.8
122,78.8
123,77.9
124,77.9
125,77.9
126,77.9
127,77
128,77
129,77
130,77
131,77
132,77
133,76.1
134,76.1
135,76.1
136,75.2
137,75.2
138,75.2
139,75.2
140,75.2
141,75.2
142,75.2
143,75.2
144,75.2
145,75.2
146,74.3
147,74.3
148,74.3
149,74.3
150,74.3
151,74.3
152,75.2
153,75.2
154,77
155,77.9
156,78.8
157,77
158,77.9
159,77.9
160,78.8
161,77.9
162,77.9
163,77.9
164,78.8
165,77.9
166,77.9
167,79.7
168,78.8
169,79.7
170,78.8
171,78.8
172,79.7
173,80.6
174,80.6
175,80.6
176,80.6
177,80.6
178,81.5
179,80.6
180,77.9
181,77
182,76.1
183,75.2
184,74.3
185,75.2
186,76.1
187,76.1
188,77
189,77
190,77
191,77
192,77
193,77
194,77
195,77
196,77
197,77
198,77
199,77
200,76.1
201,77
202,77.9
203,77.9
204,77.9
205,78.8
206,78.8
207,78.8
208,78.8
209,77
210,77
211,76.1
212,76.1
213,76.1
214,75.2
215,75.2
216,76.1
217,76.1
218,77
219,75.2
220,76.1
221,76.1
222,75.2
223,75.2
224,76.1
225,74.3
226,74.3
227,75.2
228,75.2
229,75.2
230,75.2
231,76.1
232,76.1
233,75.2
234,73.4
235,72.5
236,70.7
237,70.7
238,69.8
239,68.9
240,68.9
241,70.7
242,71.6
243,71.6
244,71.6
245,71.6
246,72.5
247,72.5
248,72.5
249,73.4
250,72.5
251,73.4
252,74.3
253,74.3
254,74.3
255,74.3
256,74.3
257,75.2
258,74.3
